"Table 5: Local Authority: Gross Domestic Product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
West Midlands,E07000222,Warwick,"2,658","2,830","2,900","2,944","3,106","3,452","3,591","3,726","3,932","3,999","4,135","4,085","4,239","4,438","4,638","5,116","5,584","6,113","6,303","7,010","6,977","7,158","6,659","7,362"
West Midlands,E06000020,Telford and Wrekin,"2,573","2,674","2,701","2,842","2,931","3,062","3,226","3,328","3,440","3,517","3,633","3,501","3,630","3,778","3,896","4,089","4,196","4,271","4,673","4,826","4,977","5,211","5,135","5,514"
West Midlands,E06000051,Shropshire,"3,781","3,861","3,991","4,150","4,402","4,653","4,867","5,109","5,286","5,431","5,725","5,472","5,651","5,847","5,962","6,247","6,490","6,596","6,820","6,993","7,289","7,327","6,969","7,692"
West Midlands,E06000021,Stoke-on-Trent,"3,177","3,209","3,270","3,360","3,528","3,727","3,992","4,184","4,365","4,521","4,793","4,710","4,823","5,020","5,155","5,386","5,473","5,605","5,645","5,997","6,388","6,595","6,386","7,026"
West Midlands,E07000192,Cannock Chase,"1,238","1,259","1,300","1,366","1,449","1,516","1,577","1,674","1,715","1,758","1,795","1,668","1,730","1,794","1,832","1,913","1,994","2,103","2,152","2,378","2,515","2,482","2,256","2,425"
West Midlands,E07000193,East Staffordshire,"2,396","2,426","2,495","2,528","2,694","2,841","3,080","3,235","3,299","3,316","3,452","3,146","3,410","3,595","3,616","3,704","3,728","3,908","3,924","3,770","3,885","4,037","3,630","4,015"
West Midlands,E07000194,Lichfield,"1,331","1,377","1,409","1,468","1,571","1,671","1,766","1,827","1,897","1,946","2,036","1,925","2,013","2,051","2,160","2,250","2,380","2,593","2,696","2,803","2,667","2,793","2,674","2,914"
West Midlands,E07000195,Newcastle-under-Lyme,"1,411","1,448","1,467","1,519","1,595","1,685","1,795","1,884","1,921","1,982","2,075","1,987","2,070","2,165","2,160","2,233","2,295","2,375","2,445","2,481","2,559","2,632","2,445","2,646"
West Midlands,E07000196,South Staffordshire,"1,185","1,215","1,246","1,278","1,356","1,409","1,459","1,494","1,548","1,580","1,632","1,543","1,639","1,701","1,683","1,744","1,783","1,873","1,961","2,106","2,176","2,321","2,256","2,437"
West Midlands,E07000197,Stafford,"1,909","1,911","1,978","2,048","2,150","2,276","2,344","2,423","2,533","2,636","2,778","2,725","2,868","2,949","2,992","3,114","3,234","3,295","3,495","3,628","3,655","3,727","3,480","3,749"
West Midlands,E07000198,Staffordshire Moorlands,"1,020","1,043","1,039","1,060","1,118","1,192","1,254","1,300","1,353","1,398","1,448","1,336","1,428","1,501","1,507","1,657","1,697","1,642","1,644","1,749","1,836","1,830","1,731","1,847"
West Midlands,E07000199,Tamworth,901,929,950,999,"1,046","1,103","1,170","1,224","1,258","1,295","1,319","1,237","1,294","1,334","1,276","1,308","1,378","1,503","1,590","1,747","1,889","1,905","1,788","2,030"
West Midlands,E08000025,Birmingham,"15,097","15,604","16,034","16,851","17,508","18,542","19,683","20,739","21,284","22,366","22,641","22,397","23,167","23,668","24,229","25,460","26,474","27,376","28,769","29,360","30,579","31,182","29,809","31,966"
West Midlands,E08000029,Solihull,"4,600","4,678","4,928","5,157","5,233","5,430","5,575","5,805","5,932","6,169","6,155","5,782","6,306","6,504","6,718","7,013","7,369","8,127","9,127","9,964","10,271","10,567","9,692","10,478"
West Midlands,E08000026,Coventry,"5,284","5,424","5,565","5,804","5,897","6,177","6,447","6,807","6,909","7,279","7,525","7,457","7,847","8,136","8,477","8,767","9,377","9,959","10,867","10,643","10,865","11,085","10,617","11,094"
West Midlands,E08000027,Dudley,"3,721","3,853","3,923","4,098","4,239","4,341","4,504","4,657","4,795","5,002","5,036","4,743","4,934","5,098","5,222","5,354","5,459","5,528","5,722","5,930","6,060","6,238","5,866","6,366"
West Midlands,E08000028,Sandwell,"4,121","4,183","4,226","4,322","4,493","4,699","4,847","5,015","5,225","5,303","5,391","5,263","5,396","5,407","5,584","5,767","6,244","6,532","6,864","7,155","7,501","7,370","7,091","7,355"
West Midlands,E08000030,Walsall,"3,036","3,120","3,171","3,253","3,352","3,510","3,673","3,826","3,905","4,053","4,117","3,887","4,088","4,352","4,454","4,729","5,029","5,135","5,391","5,469","5,521","5,530","5,082","5,583"
West Midlands,E08000031,Wolverhampton,"3,295","3,426","3,518","3,664","3,793","3,935","4,107","4,305","4,436","4,599","4,665","4,413","4,556","4,760","4,733","4,811","4,871","4,826","5,165","5,501","5,819","5,972","5,582","6,233"
East,E06000031,Peterborough,"3,513","3,676","3,711","3,891","3,989","4,160","4,455","4,940","5,460","5,562","5,492","5,073","5,260","5,448","5,586","5,589","6,006","5,926","6,374","7,005","7,527","7,198","6,931","7,616"
East,E07000008,Cambridge,"2,511","2,666","2,806","2,997","3,119","3,305","3,483","3,748","4,065","4,271","4,439","4,515","4,642","4,781","5,048","5,312","5,504","5,718","5,930","6,219","6,336","6,809","7,001","7,505"
East,E07000009,East Cambridgeshire,"1,052","1,078","1,131","1,193","1,303","1,343","1,322","1,399","1,469","1,512","1,603","1,587","1,617","1,690","1,724","1,786","1,878","1,942","2,046","2,159","2,192","2,380","2,312","2,370"
East,E07000010,Fenland,"1,060","1,093","1,163","1,221","1,300","1,359","1,385","1,447","1,508","1,560","1,616","1,612","1,687","1,755","1,794","1,917","1,958","1,972","2,014","2,111","2,098","2,168","2,044","2,235"
East,E07000011,Huntingdonshire,"2,395","2,531","2,655","2,771","2,898","3,048","3,150","3,294","3,521","3,656","3,774","3,720","3,921","4,005","4,076","4,184","4,388","4,524","4,808","5,012","5,091","5,444","5,118","5,482"
East,E07000012,South Cambridgeshire,"2,566","2,700","2,816","2,947","3,128","3,269","3,438","3,576","3,831","4,021","4,151","4,052","4,290","4,376","4,745","4,718","4,914","5,185","5,369","5,701","5,827","6,062","5,905","6,491"
East,E07000200,Babergh,"1,125","1,177","1,239","1,296","1,348","1,398","1,430","1,465","1,548","1,594","1,628","1,578","1,676","1,716","1,753","1,793","1,871","1,892","1,932","2,000","1,988","2,120","1,995","2,153"
East,E07000202,Ipswich,"2,239","2,354","2,431","2,534","2,608","2,780","2,997","3,302","3,620","3,654","3,626","3,514","3,489","3,533","3,663","3,897","4,085","4,231","4,499","4,566","4,658","4,838","4,598","4,974"
East,E07000203,Mid Suffolk,"1,173","1,232","1,321","1,366","1,446","1,504","1,544","1,609","1,686","1,748","1,825","1,782","1,840","1,898","1,978","2,017","2,094","2,172","2,239","2,388","2,511","2,656","2,465","2,756"
East,E07000244,East Suffolk,"3,068","3,214","3,403","3,509","3,686","3,909","4,053","4,293","4,493","4,621","4,689","4,505","4,649","4,829","5,002","5,174","5,264","5,303","5,389","5,670","5,805","6,247","5,797","6,148"
East,E07000245,West Suffolk,"2,777","2,912","3,094","3,251","3,404","3,533","3,656","3,846","4,146","4,275","4,470","4,441","4,581","4,722","4,894","5,127","5,234","5,508","5,841","6,011","6,078","6,372","5,765","6,060"
East,E07000144,Broadland,"1,417","1,442","1,549","1,601","1,707","1,823","1,872","1,935","2,115","2,244","2,444","2,634","2,666","2,604","2,734","2,930","2,934","3,097","3,387","3,840","3,679","4,490","4,019","4,417"
East,E07000145,Great Yarmouth,"1,092","1,127","1,186","1,242","1,304","1,385","1,464","1,510","1,635","1,687","1,787","1,769","1,818","1,877","2,040","2,065","2,118","2,106","1,948","1,979","1,945","2,089","1,931","2,188"
East,E07000148,Norwich,"2,020","2,132","2,263","2,389","2,477","2,617","2,771","2,997","3,258","3,340","3,356","3,328","3,412","3,520","3,634","3,892","4,035","4,091","4,172","4,380","4,376","4,663","4,298","4,521"
East,E07000146,King's Lynn and West Norfolk,"1,918","1,985","2,087","2,145","2,245","2,373","2,394","2,531","2,634","2,713","2,831","2,825","2,886","2,980","3,097","3,213","3,277","3,319","3,452","3,502","3,531","3,688","3,461","3,720"
East,E07000147,North Norfolk,"1,006","1,039","1,099","1,147","1,215","1,267","1,293","1,355","1,422","1,467","1,536","1,485","1,517","1,560","1,600","1,622","1,704","1,739","1,786","1,851","1,861","1,905","1,810","1,983"
East,E07000143,Breckland,"1,322","1,392","1,487","1,578","1,657","1,727","1,772","1,863","2,014","2,069","2,149","2,144","2,198","2,282","2,331","2,417","2,520","2,602","2,721","2,798","2,794","2,975","2,890","3,135"
East,E07000149,South Norfolk,"1,456","1,555","1,671","1,737","1,831","1,956","2,042","2,142","2,271","2,335","2,378","2,333","2,424","2,505","2,636","2,717","2,813","2,861","2,943","3,046","3,070","3,297","3,236","3,508"
East,E06000032,Luton,"3,162","3,299","3,587","3,748","3,848","4,036","4,097","4,266","4,404","4,696","4,919","4,586","4,703","4,782","4,855","5,368","5,930","6,230","6,362","6,671","6,764","7,016","5,682","5,552"
East,E07000095,Broxbourne,"1,505","1,623","1,703","1,771","1,813","1,939","1,963","2,123","2,243","2,378","2,612","2,480","2,429","2,428","2,527","2,632","2,779","2,760","2,571","2,647","2,677","2,672","2,483","2,701"
East,E07000096,Dacorum,"2,362","2,475","2,602","2,718","2,841","3,002","3,131","3,307","3,397","3,556","3,681","3,498","3,551","3,697","3,734","3,854","4,025","4,208","4,374","4,823","4,965","5,190","5,245","5,643"
East,E07000098,Hertsmere,"2,040","2,144","2,202","2,313","2,333","2,480","2,603","2,810","2,845","2,996","3,145","3,155","3,112","3,132","3,294","3,548","3,768","3,906","4,260","4,653","4,633","4,746","4,407","5,002"
East,E07000099,North Hertfordshire,"1,927","2,032","2,176","2,241","2,308","2,453","2,509","2,676","2,724","2,785","2,900","2,814","2,914","2,982","3,056","3,272","3,509","3,583","3,697","3,884","4,039","4,153","4,119","4,585"
East,E07000102,Three Rivers,"1,926","2,034","2,088","2,220","2,296","2,490","2,598","2,667","2,655","2,799","2,848","2,726","2,803","2,962","2,923","3,292","3,722","3,874","4,055","4,545","4,794","5,035","4,568","5,093"
East,E07000103,Watford,"2,081","2,182","2,303","2,430","2,551","2,742","2,923","3,083","3,214","3,407","3,507","3,441","3,403","3,521","3,659","4,002","4,334","4,800","5,146","5,638","5,580","5,436","4,758","5,042"
East,E07000240,St Albans,"2,223","2,319","2,495","2,566","2,695","2,803","2,980","3,171","3,244","3,386","3,463","3,270","3,401","3,455","3,468","3,625","3,873","4,418","4,609","4,811","4,921","5,093","4,881","5,080"
East,E07000241,Welwyn Hatfield,"2,482","2,687","2,775","2,908","3,051","3,228","3,366","3,658","3,710","3,841","3,949","3,697","3,641","3,437","3,466","3,782","4,046","4,148","4,293","4,741","5,238","6,006","5,909","5,987"
East,E07000242,East Hertfordshire,"2,212","2,441","2,572","2,678","2,751","2,901","2,963","3,262","3,534","3,748","4,215","3,978","3,794","3,687","3,450","3,481","3,713","3,806","4,340","4,402","4,397","4,668","4,249","4,620"
East,E07000243,Stevenage,"1,615","1,731","1,793","1,838","1,910","2,050","2,184","2,398","2,438","2,506","2,591","2,409","2,417","2,399","2,488","2,625","2,709","2,789","2,821","3,040","2,974","3,008","2,828","3,083"
East,E06000055,Bedford,"2,263","2,387","2,491","2,616","2,734","2,884","2,982","3,204","3,304","3,421","3,581","3,444","3,471","3,484","3,585","3,711","3,949","4,133","4,284","4,568","4,656","4,961","4,677","5,411"
East,E06000056,Central Bedfordshire,"3,306","3,453","3,669","3,795","3,970","4,146","4,235","4,463","4,538","4,681","4,862","4,636","4,824","4,970","5,106","5,478","5,800","6,071","6,511","7,014","7,142","7,133","6,550","7,047"
East,E06000033,Southend-on-Sea,"1,756","1,829","1,904","2,019","2,113","2,282","2,395","2,475","2,626","2,731","2,816","2,790","2,863","2,909","2,980","3,051","3,189","3,243","3,364","3,577","3,682","3,597","3,223","3,492"
East,E06000034,Thurrock,"2,348","2,334","2,367","2,533","2,570","2,921","3,032","3,202","3,320","3,449","3,499","3,426","3,564","3,442","3,538","3,511","3,785","4,069","4,153","4,640","4,859","4,976","4,752","5,150"
East,E07000067,Braintree,"1,811","1,823","1,941","2,050","2,085","2,287","2,348","2,417","2,505","2,581","2,633","2,524","2,657","2,648","2,702","2,810","3,109","3,393","3,876","4,361","4,261","4,034","3,679","4,109"
East,E07000071,Colchester,"2,216","2,264","2,408","2,589","2,671","2,902","2,979","3,120","3,249","3,390","3,484","3,451","3,645","3,763","3,949","4,011","4,193","4,471","4,637","4,900","5,090","5,365","4,937","5,340"
East,E07000076,Tendring,"1,233","1,263","1,300","1,372","1,400","1,528","1,597","1,642","1,685","1,737","1,821","1,701","1,795","1,816","1,842","1,886","1,945","2,051","2,147","2,305","2,327","2,433","2,297","2,574"
East,E07000072,Epping Forest,"1,912","2,012","2,099","2,261","2,409","2,617","2,682","2,759","2,944","3,091","3,077","3,044","3,206","3,222","3,194","3,204","3,398","3,777","4,133","4,441","4,586","4,590","4,109","4,480"
East,E07000073,Harlow,"1,537","1,563","1,617","1,710","1,791","1,984","2,077","2,146","2,231","2,307","2,324","2,112","2,228","2,130","2,064","2,133","2,152","2,239","2,328","2,481","2,562","2,422","2,203","2,492"
East,E07000077,Uttlesford,"1,253","1,334","1,418","1,482","1,541","1,671","1,704","1,763","1,812","1,896","1,955","1,909","2,029","2,061","2,141","2,304","2,365","2,445","2,514","2,625","2,677","2,831","2,406","2,479"
East,E07000068,Brentwood,"1,444","1,473","1,590","1,727","1,785","1,928","1,950","2,041","2,156","2,276","2,278","2,232","2,317","2,305","2,208","2,300","2,767","3,199","3,297","3,577","3,746","3,806","3,237","3,459"
East,E07000070,Chelmsford,"2,889","2,929","3,086","3,313","3,402","3,701","3,808","3,913","4,089","4,253","4,266","4,286","4,381","4,437","4,708","4,763","5,002","4,971","5,091","5,345","5,591","5,853","5,737","6,297"
East,E07000074,Maldon,671,687,731,769,791,856,871,888,924,944,989,932,992,"1,007","1,034","1,069","1,113","1,133","1,184","1,278","1,286","1,334","1,270","1,350"
East,E07000066,Basildon,"3,130","3,154","3,409","3,590","3,691","4,011","4,050","4,208","4,365","4,530","4,781","4,438","4,794","4,826","5,057","5,386","5,637","5,586","5,866","6,075","6,316","6,674","6,400","6,914"
East,E07000069,Castle Point,654,677,710,752,776,843,853,884,910,952,981,938,984,999,"1,021","1,046","1,101","1,153","1,174","1,227","1,254","1,304","1,239","1,349"
East,E07000075,Rochford,765,792,832,867,875,940,948,981,"1,014","1,037","1,070","1,012","1,050","1,072","1,136","1,196","1,256","1,335","1,408","1,454","1,482","1,554","1,534","1,658"
London,E09000001,City of London,"23,632","24,064","27,289","27,119","28,235","30,539","33,298","37,861","42,334","47,029","46,710","49,042","51,806","53,946","54,165","57,712","61,090","61,798","67,848","70,967","75,097","79,677","85,016","92,187"
London,E09000007,Camden,"10,619","11,311","12,313","12,920","13,329","14,214","15,268","16,454","17,000","18,666","19,351","19,175","19,773","20,752","21,544","23,207","25,619","29,562","33,443","34,702","35,995","36,032","32,035","35,404"
London,E09000033,Westminster,"26,982","28,740","31,555","32,587","33,722","35,379","36,867","40,295","41,915","46,415","48,440","47,387","49,567","51,087","53,935","56,859","61,205","61,315","67,352","70,897","74,644","78,009","73,470","78,385"
London,E09000013,Hammersmith and Fulham,"4,017","4,357","4,669","4,929","5,123","5,423","5,675","5,989","6,036","6,603","7,052","6,879","7,142","7,545","8,116","8,777","9,553","10,164","10,417","11,107","11,854","12,726","12,147","12,509"
London,E09000020,Kensington and Chelsea,"4,214","4,494","4,835","5,062","5,226","5,399","5,710","6,029","6,286","6,974","7,452","6,976","7,206","7,677","8,745","9,672","10,293","10,467","10,503","10,435","11,277","10,817","9,863","10,367"
London,E09000032,Wandsworth,"3,681","4,007","4,268","4,520","4,727","4,922","5,115","5,461","5,719","6,225","6,426","6,135","6,333","6,669","7,169","7,587","8,164","8,713","8,900","8,730","8,974","9,093","8,474","8,971"
London,E09000012,Hackney,"2,816","3,015","3,253","3,420","3,559","3,789","3,960","4,262","4,445","4,810","5,011","4,927","5,208","5,610","5,738","5,941","6,634","6,960","7,419","7,965","8,879","10,271","10,475","11,440"
London,E09000025,Newham,"3,159","3,296","3,519","3,675","3,829","4,024","4,150","4,365","4,504","4,820","5,093","4,929","5,246","5,505","5,894","6,112","6,396","6,717","6,960","7,325","7,523","7,945","7,404","8,234"
London,E09000030,Tower Hamlets,"12,406","12,769","14,381","14,598","15,200","16,223","17,639","19,753","21,682","24,126","25,426","26,316","27,133","29,960","29,552","31,025","32,872","33,492","35,825","38,734","38,030","37,569","37,422","40,258"
London,E09000014,Haringey,"2,175","2,329","2,456","2,596","2,690","2,804","2,929","3,104","3,167","3,438","3,507","3,354","3,596","3,784","3,952","4,009","4,390","4,626","4,600","4,726","4,855","4,911","4,480","4,934"
London,E09000019,Islington,"7,558","7,939","8,811","9,059","9,382","9,918","10,466","11,174","11,692","12,965","13,760","13,634","14,222","15,037","15,510","16,846","18,061","18,964","19,463","19,680","20,814","21,210","20,238","21,958"
London,E09000023,Lewisham,"2,094","2,220","2,361","2,534","2,630","2,813","2,934","3,131","3,278","3,514","3,647","3,444","3,632","3,877","4,057","4,101","4,374","4,512","4,507","4,536","4,595","4,723","4,416","4,719"
London,E09000028,Southwark,"7,086","7,549","8,380","8,670","8,955","9,396","9,905","10,768","11,215","12,475","13,151","13,200","14,035","15,532","16,341","16,869","16,629","17,879","19,008","19,526","21,146","22,360","20,524","22,144"
London,E09000022,Lambeth,"5,143","5,521","6,032","6,414","6,519","6,901","7,295","7,942","8,102","9,057","9,616","9,376","10,197","10,901","11,121","10,654","12,029","12,517","13,140","13,414","13,780","13,713","12,546","13,848"
London,E09000004,Bexley,"3,430","3,622","3,772","3,922","4,071","4,290","4,400","4,640","4,881","5,130","5,255","4,977","5,169","5,279","5,713","6,327","6,468","6,750","7,136","6,932","6,977","7,294","6,632","6,889"
London,E09000011,Greenwich,"2,952","3,135","3,252","3,346","3,521","3,741","3,945","4,178","4,433","4,622","4,755","4,435","4,774","4,981","5,109","5,266","5,526","5,742","5,962","6,288","6,512","6,913","5,958","6,437"
London,E09000002,Barking and Dagenham,"2,617","2,593","2,589","2,585","2,580","2,668","2,793","2,819","3,087","3,249","3,312","3,080","3,484","3,583","3,749","4,058","4,121","4,144","4,022","3,986","4,073","4,250","3,883","4,135"
London,E09000016,Havering,"3,369","3,571","3,715","3,849","3,991","4,233","4,391","4,626","4,879","5,131","5,067","4,696","4,906","4,951","5,298","5,477","5,821","6,009","6,280","6,388","6,606","6,847","6,172","6,842"
London,E09000026,Redbridge,"2,960","3,152","3,298","3,401","3,567","3,795","3,996","4,177","4,425","4,620","4,643","4,285","4,468","4,636","4,972","5,099","5,251","5,568","5,746","5,842","5,949","5,961","5,311","5,968"
London,E09000031,Waltham Forest,"2,405","2,544","2,644","2,760","2,901","3,082","3,226","3,395","3,596","3,794","3,772","3,467","3,650","3,826","4,114","4,283","4,532","4,776","4,892","4,963","5,093","5,351","4,730","5,162"
London,E09000010,Enfield,"4,261","4,529","4,737","4,935","5,165","5,534","5,786","6,042","6,427","6,809","6,815","6,254","6,658","6,811","7,091","7,359","7,739","8,168","8,382","8,326","8,911","9,313","8,344","9,151"
London,E09000006,Bromley,"4,977","5,289","5,405","5,579","5,881","6,275","6,572","6,870","7,345","7,668","7,658","7,153","7,383","7,549","7,908","8,152","8,296","8,494","8,909","9,232","9,433","9,378","8,486","9,044"
London,E09000008,Croydon,"5,724","6,040","6,365","6,567","6,762","7,179","7,473","7,880","8,186","8,788","8,738","8,314","8,389","8,489","8,582","8,794","9,623","9,751","10,052","10,341","11,124","11,864","11,243","12,332"
London,E09000021,Kingston upon Thames,"2,877","3,062","3,220","3,312","3,432","3,627","3,820","3,985","4,191","4,473","4,536","4,258","4,329","4,443","4,627","4,632","5,021","5,094","5,661","5,703","5,890","6,011","5,417","5,563"
London,E09000024,Merton,"3,453","3,683","3,844","3,946","4,006","4,176","4,316","4,538","4,740","5,015","5,043","4,649","4,836","4,991","5,243","5,622","6,000","6,150","6,341","6,242","6,353","6,634","6,019","6,784"
London,E09000029,Sutton,"2,788","2,953","3,130","3,222","3,333","3,517","3,653","3,846","4,038","4,281","4,309","3,997","4,128","4,217","4,325","4,399","4,630","4,639","4,901","4,991","4,973","5,166","4,731","5,215"
London,E09000003,Barnet,"4,770","5,126","5,339","5,524","5,781","6,130","6,380","6,659","7,115","7,469","7,427","7,055","7,374","7,640","8,260","8,463","9,006","9,358","9,801","9,904","10,235","10,599","10,137","11,206"
London,E09000005,Brent,"4,541","4,907","5,163","5,330","5,524","5,722","5,855","6,175","6,567","6,863","6,892","6,474","6,802","7,037","7,577","7,981","8,668","9,178","9,593","9,759","9,767","10,434","9,862","10,671"
London,E09000009,Ealing,"5,297","5,648","5,903","6,097","6,289","6,611","6,818","7,079","7,459","7,849","7,918","7,387","7,712","8,004","8,574","9,090","9,743","10,209","10,638","10,433","10,533","10,670","10,411","11,171"
London,E09000015,Harrow,"3,043","3,236","3,347","3,459","3,636","3,894","4,059","4,218","4,436","4,705","4,708","4,368","4,623","4,779","4,885","4,993","5,406","5,710","5,950","6,029","6,168","6,323","5,733","6,559"
London,E09000017,Hillingdon,"9,322","9,825","10,279","10,317","10,490","10,949","11,371","11,817","12,056","12,587","12,571","11,412","12,021","12,647","12,926","13,703","15,062","15,300","14,893","15,612","15,969","16,203","12,817","13,094"
London,E09000018,Hounslow,"6,761","7,269","7,836","8,155","8,430","8,684","8,872","9,360","10,509","11,393","12,136","11,793","12,327","12,658","13,427","14,686","15,964","16,816","17,870","18,009","17,868","18,647","16,131","16,777"
London,E09000027,Richmond upon Thames,"3,600","3,828","4,037","4,152","4,258","4,466","4,666","4,902","5,173","5,497","5,506","5,284","5,334","5,525","5,925","6,125","6,372","6,811","7,275","7,641","8,415","8,404","7,634","8,166"
South East,E06000036,Bracknell Forest,"2,889","3,060","3,167","3,301","3,499","3,749","3,729","3,894","4,032","4,280","4,463","4,347","4,533","4,736","4,885","4,963","5,077","5,456","5,299","5,563","5,654","5,737","5,216","5,391"
South East,E06000037,West Berkshire,"4,014","4,330","4,588","4,614","4,817","5,029","5,211","5,558","5,817","6,034","6,252","6,137","6,256","6,528","7,045","7,213","7,236","7,780","7,854","7,842","8,236","9,089","9,009","9,142"
South East,E06000038,Reading,"3,830","4,173","4,523","4,538","4,621","4,930","5,248","5,624","5,826","6,079","6,376","6,472","6,462","6,761","7,135","7,339","7,830","7,864","8,192","8,153","9,064","8,948","8,293","9,355"
South East,E06000039,Slough,"4,721","5,105","5,519","5,623","5,866","6,222","6,380","6,665","6,898","7,173","7,431","7,355","7,479","7,873","7,816","8,090","8,364","8,253","8,438","8,382","8,771","9,242","9,272","9,815"
South East,E06000040,Windsor and Maidenhead,"3,629","3,846","4,008","4,139","4,309","4,641","4,700","4,973","5,110","5,374","5,601","5,544","5,682","5,954","6,183","6,638","6,692","7,044","7,568","8,213","8,284","8,179","7,601","8,180"
South East,E06000041,Wokingham,"3,166","3,386","3,460","3,572","3,784","4,180","4,323","4,597","4,900","5,252","5,277","5,225","5,367","5,598","5,834","5,536","6,141","6,275","6,602","6,968","7,731","8,771","9,039","9,308"
South East,E06000042,Milton Keynes,"5,647","5,897","6,231","6,622","7,102","7,700","7,717","8,106","8,572","9,048","9,270","8,950","9,447","9,791","10,054","10,707","11,892","13,244","13,156","14,072","14,689","15,052","14,332","15,963"
South East,E06000060,Buckinghamshire,"9,189","9,663","10,139","10,498","10,844","11,369","11,556","12,180","12,591","13,191","13,810","13,482","13,751","14,313","14,680","15,163","15,633","15,863","16,286","16,541","17,168","18,397","17,205","18,485"
South East,E07000177,Cherwell,"2,744","2,865","3,010","3,078","3,210","3,334","3,379","3,503","3,591","3,771","3,987","3,846","3,993","4,111","4,251","4,416","4,711","4,843","4,984","5,090","5,339","5,651","5,380","5,598"
South East,E07000178,Oxford,"2,709","2,857","3,062","3,230","3,525","3,780","3,920","4,061","4,232","4,401","4,738","4,685","4,920","5,107","5,393","5,649","6,171","6,416","6,490","6,452","6,724","7,359","6,969","7,326"
South East,E07000179,South Oxfordshire,"2,425","2,544","2,614","2,611","2,777","2,919","2,927","3,083","3,159","3,314","3,421","3,291","3,454","3,602","3,621","3,843","4,020","4,332","4,050","4,227","4,388","4,798","4,868","5,044"
South East,E07000180,Vale of White Horse,"2,439","2,538","2,639","2,708","2,849","3,020","3,065","3,258","3,371","3,546","3,722","3,678","3,844","3,967","4,204","4,371","4,391","4,542","4,470","4,659","4,879","4,910","4,977","5,349"
South East,E07000181,West Oxfordshire,"1,632","1,668","1,745","1,800","1,917","1,986","1,992","2,088","2,169","2,292","2,456","2,355","2,442","2,554","2,638","2,723","2,863","2,915","3,025","3,108","3,281","3,482","3,316","3,448"
South East,E06000043,Brighton and Hove,"3,731","3,979","4,174","4,454","4,638","4,813","4,999","5,329","5,729","5,941","6,233","6,243","6,349","6,535","7,067","7,564","7,928","8,142","8,583","8,932","9,285","9,720","9,439","10,308"
South East,E07000061,Eastbourne,"1,064","1,133","1,189","1,249","1,318","1,388","1,433","1,517","1,594","1,649","1,739","1,688","1,734","1,787","1,773","1,830","1,889","1,892","2,086","2,167","2,171","2,280","2,239","2,368"
South East,E07000062,Hastings,899,939,969,"1,003","1,074","1,121","1,174","1,214","1,267","1,303","1,405","1,378","1,427","1,487","1,458","1,477","1,567","1,646","1,769","1,805","1,815","1,884","1,790","1,912"
South East,E07000063,Lewes,"1,079","1,140","1,203","1,274","1,314","1,370","1,396","1,465","1,520","1,570","1,661","1,601","1,644","1,659","1,647","1,719","1,799","1,920","1,978","2,070","2,164","2,260","2,200","2,292"
South East,E07000064,Rother,838,886,921,966,"1,008","1,052","1,080","1,138","1,194","1,238","1,304","1,251","1,267","1,280","1,275","1,341","1,416","1,513","1,582","1,565","1,566","1,647","1,610","1,787"
South East,E07000065,Wealden,"1,638","1,740","1,809","1,867","1,943","2,002","2,027","2,122","2,214","2,280","2,424","2,289","2,394","2,429","2,439","2,528","2,696","2,841","2,956","3,049","3,108","3,182","3,016","3,346"
South East,E07000207,Elmbridge,"2,730","2,924","3,113","3,211","3,230","3,327","3,419","3,534","3,785","3,897","4,023","3,862","3,997","4,159","4,244","4,461","5,370","5,981","6,340","6,678","7,042","7,591","7,363","7,577"
South East,E07000209,Guildford,"2,924","3,124","3,314","3,375","3,481","3,591","3,691","3,858","4,092","4,252","4,475","4,442","4,652","4,649","4,810","5,019","5,045","5,425","5,462","5,450","5,739","6,159","5,948","6,538"
South East,E07000212,Runnymede,"2,557","2,761","2,879","3,022","3,183","3,332","3,399","3,481","3,746","3,976","4,298","4,399","4,492","4,485","4,939","5,254","5,682","5,666","5,988","6,488","6,530","6,879","7,032","7,639"
South East,E07000213,Spelthorne,"1,784","1,946","2,092","2,145","2,169","2,251","2,306","2,483","2,601","2,658","2,780","2,682","2,768","2,836","2,895","3,014","3,091","3,210","3,260","3,320","3,461","3,699","3,646","4,052"
South East,E07000214,Surrey Heath,"1,991","2,089","2,172","2,227","2,277","2,379","2,436","2,520","2,713","2,834","2,883","2,822","3,119","3,140","3,293","3,455","3,247","3,523","3,484","3,514","3,899","4,324","4,243","4,370"
South East,E07000216,Waverley,"1,987","2,106","2,241","2,332","2,412","2,527","2,589","2,720","2,909","2,984","3,123","3,036","3,132","3,206","3,171","3,293","3,417","3,645","3,562","3,613","3,609","3,742","3,726","4,006"
South East,E07000217,Woking,"1,943","2,102","2,245","2,323","2,405","2,488","2,534","2,678","2,884","2,960","3,087","3,010","3,101","3,177","3,149","3,333","3,635","3,438","3,466","3,494","3,609","3,520","3,321","3,605"
